Day,Fatalities,Delta,Missed,Wounded,Delta Wounded,Children,Women,Men,Note,Diff Chidren,Diff Women,Diffe Other,Percent Of Men Out of Total,Rate Children: Men,Rate Women: Men,Rate: Children Women
08/10/2023,413,0,0,2300,0,78,41,294,,#VALUE!,,,71.18644068,26.53061224,0.139455782,1.902439024
09/10/2023,510,97,0,2751,451,78,41,391,Children/Women Distribution not reported,0,0,97,76.66666667,19.9488491,0.104859335,1.902439024
10/10/2023,830,320,0,4250,1499,78,41,711,Children/Women Distribution not reported,0,0,320,85.6626506,10.97046414,0.05766526,1.902439024
11/10/2023,1100,270,0,5339,1089,78,41,981,Children/Women Distribution not reported,0,0,270,89.18181818,7.951070336,0.041794088,1.902439024
12/10/2023,1417,317,0,6268,929,78,41,1298,Children/Women Distribution not reported,0,0,317,91.60197601,6.009244992,0.031587057,1.902439024
13/10/2023,1900,483,0,7696,1428,78,41,1781,Children/Women Distribution not reported,0,0,483,93.73684211,4.379562044,0.023020775,1.902439024
14/10/2023,2228,328,0,8744,1048,78,41,2109,Children/Women Distribution not reported,0,0,328,94.65888689,3.698435277,0.019440493,1.902439024
15/10/2023,2670,442,0,9600,856,78,41,2551,Children/Women Distribution not reported,0,0,442,95.54307116,3.057624461,0.016072129,1.902439024
16/10/2023,2808,138,0,10850,1250,853,936,1019,,775,895,725,36.28917379,83.70951914,0.918547596,0.911324786
17/10/2023,3000,192,0,12500,1650,940,1032,1028,,87,96,9,34.26666667,91.43968872,1.003891051,0.910852713
18/10/2023,3478,478,1300,12500,0,940,1032,1506,Children/Women Distribution not reported. Baptist hospital fake,0,0,478,43.30074756,62.41699867,0.685258964,0.910852713
19/10/2023,3785,307,1300,12500,0,1524,1032,1229,Women Distribution not reported,584,0,-277,32.47027741,124.0032547,0.839707079,1.476744186
20/10/2023,4137,352,1400,13162,662,1661,908,1568,,721,-124,339,37.90186125,105.9311224,0.579081633,1.829295154
21/10/2023,4385,248,1400,13561,399,1756,967,1662,,95,59,94,37.90193843,105.6558363,0.581829122,1.815925543
22/10/2023,4651,266,1400,,-13561,1873,1023,1755,,117,56,93,37.73382068,106.7236467,0.582905983,1.830889541
23/10/2023,5087,436,1500,15273,15273,2055,1119,1913,,182,96,158,37.60566149,107.422896,0.584945112,1.836461126
24/10/2023,5791,704,1550,16297,1024,2360,1292,2139,,305,173,226,36.9366258,110.3319308,0.60402057,1.826625387
25/10/2023,6547,756,1550,17439,1142,2704,1292,2551,,344,0,412,38.96441118,105.997648,0.506468052,2.092879257
26/10/2023,7028,481,2000,18484,1045,2913,1709,2406,,209,417,-145,34.23449061,121.0723192,0.710307564,1.704505559
27/10/2023,7326,298,2000,18967,483,3038,1792,2496,,125,83,90,34.07043407,121.7147436,0.717948718,1.6953125
28/10/2023,7703,377,2000,19743,776,3195,1863,2645,,157,71,149,34.33727119,120.7939509,0.704347826,1.714975845
29/10/2023,8005,302,2000,20242,499,3324,2062,2619,,129,199,-26,32.71705184,126.9186712,0.787323406,1.612027158
30/10/2023,8309,304,2000,21048,806,3457,2062,2790,,133,0,171,33.5780479,123.90681,0.7390681,1.676527643
31/10/2023,8525,216,2000,21543,495,3542,2187,2796,,85,125,6,32.79765396,126.6809728,0.782188841,1.619570187
01/11/2023,8805,280,2000,22240,697,3650,2252,2903,,108,65,107,32.96990346,125.7320014,0.775749225,1.620781528
02/11/2023,9061,256,2000,22911,671,3760,2326,2975,,110,74,72,32.83302064,126.3865546,0.781848739,1.616509028
03/11/2023,9257,196,2060,23516,605,3826,2405,3026,,66,79,51,32.68877606,126.4375413,0.794778586,1.590852391
04/11/2023,9485,228,2300,24173,657,3900,2430,3155,,74,25,129,33.26304692,123.6133122,0.770206022,1.604938272
05/11/2023,9770,285,2300,25000,827,4008,2550,3212,,108,120,57,32.87615148,124.7820672,0.793897883,1.571764706
06/11/2023,10022,252,3000,25408,408,4104,2550,3368,,96,0,156,33.60606665,121.8527316,0.757125891,1.609411765
07/11/2023,10328,306,3000,25956,548,4237,2719,3372,,133,169,4,32.64910922,125.6524318,0.806346382,1.55829349
08/11/2023,10569,241,3000,26475,519,4324,2823,3422,,87,104,50,32.37770839,126.3588545,0.824956166,1.531703861
09/11/2023,10818,249,3000,26905,430,4412,2918,3488,,88,95,66,32.2425587,126.4908257,0.836582569,1.511994517
10/11/2023,11078,260,3000,27490,585,4506,3027,3545,,94,109,57,32.00036108,127.1086037,0.853878702,1.488602577
11/11/2023,11078,0,3000,27490,0,4506,3027,3545,,0,0,0,32.00036108,127.1086037,0.853878702,1.488602577
12/11/2023,11180,102,3250,28200,710,4609,3100,3471,,103,73,-74,31.04651163,132.7859407,0.893114376,1.486774194
13/11/2023,11240,60,3500,29000,800,4630,3130,3480,,21,30,9,30.96085409,133.045977,0.899425287,1.479233227
14/11/2023,11320,80,3600,29200,200,4650,3145,3525,,20,15,45,31.13957597,131.9148936,0.892198582,1.478537361
15/11/2023,11500,180,3640,29800,600,4710,3160,3630,,60,15,105,31.56521739,129.7520661,0.870523416,1.490506329
16/11/2023,11500,0,3640,29800,0,4710,3160,3630,,0,0,0,31.56521739,129.7520661,0.870523416,1.490506329
17/11/2023,12000,500,3750,30000,200,5000,3300,3700,,290,140,70,30.83333333,135.1351351,0.891891892,1.515151515
18/11/2023,12300,300,6000,30000,0,5000,3300,4000,,0,0,300,32.5203252,125,0.825,1.515151515
19/11/2023,13000,700,6000,30000,0,5500,3500,4000,,500,200,0,30.76923077,137.5,0.875,1.571428571
20/11/2023,13300,300,6500,31000,1000,5600,3550,4150,,100,50,150,31.20300752,134.939759,0.855421687,1.577464789
21/11/2023,14128,828,6800,33000,2000,5840,3920,4368,,240,370,218,30.91732729,133.6996337,0.897435897,1.489795918
22/11/2023,14532,404,7000,35000,2000,6000,4000,4532,,160,80,164,31.18634737,132.39188,0.882612533,1.5
23/11/2023,14800,268,7000,36000,1000,6000,4000,4800,,0,0,268,32.43243243,125,0.833333333,1.5
24/11/2023,14800,0,7000,36000,0,6000,4000,4800,,0,0,0,32.43243243,125,0.833333333,1.5
25/11/2023,14800,0,7000,36000,0,6000,4000,4800,,0,0,0,32.43243243,125,0.833333333,1.5
26/11/2023,14800,0,7000,36000,0,6000,4000,4800,,0,0,0,32.43243243,125,0.833333333,1.5
